,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,gradle/wrapper/gradle-wrapper.jar,rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,app/src/main/java/com/scottyab/rootchecker/RootCheck.java,app/src/main/java/com/scottyab/rootchecker/Const.java,app/src/main/java/com/scottyab/rootchecker/MainActivity.java,app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,app/src/main/java/com/scottyab/rootchecker/util/QLog.java
0,"('Matthew Rollings', '2021-05-24T07:35:11Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Slim Namouchi', '2020-07-21T13:19:44Z')","('Matthew Rollings', '2020-02-07T14:44:11Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2015-06-26T14:41:45Z')","('Matthew Rollings', '2015-06-26T14:32:45Z')","('Matthew Rollings', '2015-06-26T14:32:45Z')","('Scott Alexander-Bown', '2015-06-19T17:21:37Z')","('Scott Alexander-Bown', '2015-06-19T09:05:10Z')","('Scott Alexander-Bown', '2015-06-19T09:05:10Z')"
1,"('Scott Alexander-Bown', '2021-05-08T14:18:37Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Fi5t', '2020-07-15T20:47:49Z')","('Matthew Rollings', '2019-03-14T12:24:58Z')","('Matthew Rollings', '2020-02-03T20:42:40Z')","('Matthew Rollings', '2020-07-21T13:10:44Z')","('mat', '2020-02-07T09:43:09Z')","('Daniel Kutik', '2019-11-16T02:45:47Z')","('Daniel Kutik', '2019-11-16T02:34:24Z')","('Daniel Kutik', '2019-11-16T02:45:47Z')","('Matthew Rollings', '2015-06-26T14:32:45Z')",,"('Scott Alexander-Bown', '2015-06-19T17:21:37Z')","('Matthew Rollings', '2015-06-19T11:06:02Z')",,
2,"('Matthew Rollings', '2019-03-14T12:24:58Z')","('Daniel Kutik', '2019-11-16T02:39:54Z')","('Daniel Kutik', '2019-11-16T02:34:24Z')","('Daniel Kutik', '2019-11-16T02:39:54Z')","('Daniel Kutik', '2020-01-31T00:54:28Z')","('Scott Alexander-Bown', '2016-03-16T14:05:46Z')","('Matthew Rollings', '2020-02-03T20:42:27Z')","('Matthew Rollings', '2020-02-07T14:44:11Z')","('Matthew Rollings', '2018-05-11T11:04:52Z')","('Daniel Kutik', '2019-11-16T02:34:24Z')","('Matthew Rollings', '2017-05-12T21:31:11Z')","('Daniel Kutik', '2019-11-16T02:34:24Z')","('Scott Alexander-Bown', '2015-06-19T17:21:37Z')",,"('Matthew Rollings', '2015-06-19T10:09:22Z')","('Matthew Rollings', '2015-06-19T10:09:22Z')",,
3,"('Matthew Rollings', '2017-03-29T11:18:37Z')","('Matthew Rollings', '2019-03-14T12:24:58Z')","('Scott Alexander-Bown', '2017-03-24T14:16:12Z')","('Daniel Kutik', '2019-11-16T02:34:24Z')","('Matthew Rollings', '2020-01-30T16:17:56Z')","('Mohammed Ezzat', '2016-03-15T13:13:43Z')","('Daniel Kutik', '2020-01-31T00:54:28Z')","('mat', '2020-02-07T09:43:09Z')","('matthew', '2017-10-31T18:57:32Z')","('Matthew Rollings', '2017-05-12T21:31:11Z')","('Frieder Bluemle', '2017-05-11T16:31:26Z')","('Matthew Rollings', '2017-05-12T21:31:11Z')","('Scott Alexander-Bown', '2015-06-19T17:20:07Z')",,"('Scott Alexander-Bown', '2015-06-19T09:05:10Z')",,,
4,"('Scott Alexander-Bown', '2015-06-30T14:45:20Z')","('Matthew Rollings', '2018-03-20T17:57:33Z')","('Matthew Rollings', '2017-03-24T13:41:16Z')","('Matthew Rollings', '2017-05-12T21:31:11Z')","('mat', '2020-01-30T13:09:02Z')","('Scott Alexander-Bown', '2015-06-30T14:14:08Z')","('mat', '2020-01-30T16:12:36Z')","('Daniel Kutik', '2020-01-31T00:54:28Z')","('Frieder Bluemle', '2017-08-19T16:20:33Z')","('Frieder Bluemle', '2017-05-11T16:41:00Z')","('Scott Alexander-Bown', '2015-06-19T09:05:10Z')","('Frieder Bluemle', '2017-05-11T16:41:00Z')","('Matthew Rollings', '2015-06-19T10:09:22Z')",,,,,
5,"('Matthew Rollings', '2015-06-30T14:36:54Z')","('altvnv', '2018-03-16T16:42:19Z')","('Scott Alexander-Bown', '2016-07-01T20:13:52Z')","('Frieder Bluemle', '2017-05-11T16:55:33Z')","('Matthew Rollings', '2020-01-30T13:05:03Z')",,"('Matthew Rollings', '2020-01-30T13:05:20Z')","('Matthew Rollings', '2020-01-30T13:05:20Z')","('Matthew Rollings', '2017-05-12T21:31:11Z')","('Scott Alexander-Bown', '2015-06-26T15:50:40Z')",,"('Scott Alexander-Bown', '2015-06-26T15:50:40Z')","('Scott Alexander-Bown', '2015-06-19T09:05:10Z')",,,,,
6,"('Scott Alexander-Bown', '2015-06-30T14:14:20Z')","('Matthew Rollings', '2017-03-29T11:18:37Z')","('Andy Barber', '2016-07-01T14:40:45Z')","('Andy Barber', '2016-07-01T14:40:45Z')","('mat', '2020-01-28T14:06:12Z')",,"('mat', '2020-01-28T13:03:18Z')","('Matthew Rollings', '2020-01-30T13:05:03Z')","('Frieder Bluemle', '2017-05-11T16:41:00Z')",,,,,,,,,
7,"('Matthew Rollings', '2015-06-30T14:14:02Z')","('Matthew Rollings', '2017-02-15T12:53:36Z')","('Scott Alexander-Bown', '2016-04-01T15:04:36Z')",,"('Ivan Vlasov', '2019-12-09T10:32:18Z')",,"('Daniel Kutik', '2019-11-16T02:34:24Z')","('mat', '2020-01-28T14:06:12Z')","('Matthew Rollings', '2017-02-15T12:53:36Z')",,,,,,,,,
8,"('Matthew Rollings', '2015-06-26T15:57:05Z')","('Scott Alexander-Bown', '2016-07-01T20:13:06Z')","('Mohammed Ezzat', '2016-03-16T14:14:44Z')",,"('Matthew Rollings', '2019-03-14T12:24:58Z')",,"('Matthew Rollings', '2019-03-14T12:24:58Z')","('mat', '2020-01-28T13:03:18Z')","('Scott Alexander-Bown', '2016-03-16T14:05:46Z')",,,,,,,,,
9,"('Scott Alexander-Bown', '2015-06-26T15:50:40Z')","('Scott Alexander-Bown', '2016-07-01T14:25:44Z')","('Scott Alexander-Bown', '2015-09-16T12:14:10Z')",,"('Matthew Rollings', '2018-03-20T17:57:33Z')",,"('Matthew Rollings', '2018-06-14T15:53:38Z')","('mat', '2020-01-28T12:41:49Z')","('Mohammed Ezzat', '2016-03-15T13:13:43Z')",,,,,,,,,
10,,"('Andy Barber', '2016-07-01T14:40:45Z')","('Scott Alexander-Bown', '2015-06-30T14:45:12Z')",,"('altvnv', '2018-03-16T16:42:19Z')",,"('Matthew Rollings', '2018-05-11T13:16:33Z')","('Ivan Vlasov', '2019-12-09T10:32:18Z')","('Scott Alexander-Bown', '2015-06-26T18:48:49Z')",,,,,,,,,
11,,,"('Scott Alexander-Bown', '2015-06-30T14:14:08Z')",,"('altvnv', '2018-03-16T12:02:21Z')",,"('Matthew Rollings', '2018-05-11T11:04:52Z')","('Matthew Rollings', '2019-03-14T12:24:58Z')","('Scott Alexander-Bown', '2015-06-26T15:50:40Z')",,,,,,,,,
12,,,"('Scott Alexander-Bown', '2015-06-29T13:06:14Z')",,"('altvnv', '2018-03-16T11:36:53Z')",,"('matthew', '2017-10-31T18:57:32Z')","('Matthew Rollings', '2018-06-14T15:53:38Z')",,,,,,,,,,
13,,,"('Scott Alexander-Bown', '2015-06-26T15:50:40Z')",,"('Scott Alexander-Bown', '2017-03-24T14:16:12Z')",,,"('Matthew Rollings', '2018-05-11T12:00:38Z')",,,,,,,,,,
14,,,,,"('Matthew Rollings', '2017-03-24T13:30:47Z')",,,"('Matthew Rollings', '2018-05-11T12:00:38Z')",,,,,,,,,,
15,,,,,"('Scott Alexander-Bown', '2016-03-16T14:05:46Z')",,,"('Matthew Rollings', '2018-05-11T11:04:28Z')",,,,,,,,,,
16,,,,,"('Mohammed Ezzat', '2016-03-15T13:13:43Z')",,,"('Matthew Rollings', '2018-05-11T10:59:44Z')",,,,,,,,,,
17,,,,,"('Scott Alexander-Bown', '2015-09-16T12:13:36Z')",,,"('Matthew Rollings', '2018-03-20T17:57:33Z')",,,,,,,,,,
18,,,,,"('Matthew Rollings', '2015-06-30T15:06:34Z')",,,"('altvnv', '2018-03-16T16:49:07Z')",,,,,,,,,,
19,,,,,"('Scott Alexander-Bown', '2015-06-30T14:59:48Z')",,,"('altvnv', '2018-03-16T16:42:19Z')",,,,,,,,,,
20,,,,,"('Scott Alexander-Bown', '2015-06-30T14:14:20Z')",,,"('altvnv', '2018-03-16T12:14:23Z')",,,,,,,,,,
21,,,,,"('Matthew Rollings', '2015-06-30T13:40:46Z')",,,"('Matthew Rollings', '2017-09-29T08:23:05Z')",,,,,,,,,,
22,,,,,"('Scott Alexander-Bown', '2015-06-29T13:06:59Z')",,,"('Frieder Bluemle', '2017-08-19T16:20:33Z')",,,,,,,,,,
23,,,,,"('Scott Alexander-Bown', '2015-06-26T15:50:40Z')",,,"('Ali Waseem', '2017-08-11T15:34:54Z')",,,,,,,,,,
24,,,,,,,,"('LeonKarabchevsky', '2017-06-11T14:34:20Z')",,,,,,,,,,
25,,,,,,,,"('BIOCATCH\\Leon.Karabchevsky', '2017-06-07T07:53:52Z')",,,,,,,,,,
26,,,,,,,,"('Matthew Rollings', '2017-05-12T21:21:12Z')",,,,,,,,,,
27,,,,,,,,"('vyas', '2017-05-10T19:44:29Z')",,,,,,,,,,
28,,,,,,,,"('Matthew Rollings', '2017-03-29T11:18:37Z')",,,,,,,,,,
29,,,,,,,,"('Matthew Rollings', '2017-03-24T16:11:58Z')",,,,,,,,,,
30,,,,,,,,"('Scott Alexander-Bown', '2017-03-24T14:16:12Z')",,,,,,,,,,
31,,,,,,,,"('Matthew Rollings', '2017-03-24T13:31:19Z')",,,,,,,,,,
32,,,,,,,,"('Matthew Rollings', '2017-03-13T22:05:11Z')",,,,,,,,,,
